name,node_id,zone_id,node_type,ctrl_type,x_coord,y_coord,geometry
,100518,0,,,1501274.570000,988597.000000,"POINT (1501274.570000 988597.000000)"
,100519,0,,,1503932.752000,989334.063000,"POINT (1503932.752000 989334.063000)"
,100520,0,,,1503939.667000,985430.875000,"POINT (1503939.667000 985430.875000)"
,100521,0,,,1495919.926000,985561.515000,"POINT (1495919.926000 985561.515000)"
,100522,0,,,1490684.058000,982903.063000,"POINT (1490684.058000 982903.063000)"
,100523,0,,,1495892.660000,982882.250000,"POINT (1495892.660000 982882.250000)"
,100524,0,,,1502805.035000,982810.413000,"POINT (1502805.035000 982810.413000)"
,100525,0,,,1503887.206000,982782.563000,"POINT (1503887.206000 982782.563000)"
,100526,0,,,1506545.683000,982755.250000,"POINT (1506545.683000 982755.250000)"
,100527,0,,,1495845.565000,977533.875000,"POINT (1495845.565000 977533.875000)"
,100528,0,,,1495812.710000,973821.750000,"POINT (1495812.710000 973821.750000)"
,100529,0,,,1490613.911000,977626.562000,"POINT (1490613.911000 977626.562000)"
,100530,0,,,1490578.909000,975006.375000,"POINT (1490578.909000 975006.375000)"
,100531,0,,,1492069.268000,974978.000000,"POINT (1492069.268000 974978.000000)"
,100532,0,,,1495822.354000,974906.562000,"POINT (1495822.354000 974906.562000)"
,100533,0,,,1495798.941000,972282.875000,"POINT (1495798.941000 972282.875000)"
,100534,0,,,1497106.413000,974887.812000,"POINT (1497106.413000 974887.812000)"
,100535,0,,,1506440.870000,974771.125000,"POINT (1506440.870000 974771.125000)"
,100536,0,,,1510397.065000,974758.625000,"POINT (1510397.065000 974758.625000)"
,100537,0,,,1510406.687000,972158.063000,"POINT (1510406.687000 972158.063000)"
,100538,0,,,1515053.328000,972118.000000,"POINT (1515053.328000 972118.000000)"
,100539,0,,,1515071.390000,974741.375000,"POINT (1515071.390000 974741.375000)"
,100540,0,,,1515287.000000,978803.000000,"POINT (1515287.000000 978803.000000)"
,100541,0,,,1510468.019000,978797.750000,"POINT (1510468.019000 978797.750000)"
,100542,0,,,1513721.501000,974767.566000,"POINT (1513721.501000 974767.566000)"
,100543,0,,,1509123.000000,982760.000000,"POINT (1509123.000000 982760.000000)"
,100544,0,,,1510514.030000,982748.000000,"POINT (1510514.030000 982748.000000)"
,100545,0,,,1510501.416000,983183.875000,"POINT (1510501.416000 983183.875000)"
,100546,0,,,1512944.000000,982732.000000,"POINT (1512944.000000 982732.000000)"
,100547,0,,,1516762.048000,982694.625000,"POINT (1516762.048000 982694.625000)"
,100548,0,,,1517899.799000,982678.500000,"POINT (1517899.799000 982678.500000)"
,100549,0,,,1518531.362000,982669.688000,"POINT (1518531.362000 982669.688000)"
,100550,0,,,1519095.000000,982636.000000,"POINT (1519095.000000 982636.000000)"
,100551,0,,,1517767.054000,985353.125000,"POINT (1517767.054000 985353.125000)"
,100552,0,,,1518322.000000,986867.000000,"POINT (1518322.000000 986867.000000)"
,100553,0,,,1517103.000000,985345.000000,"POINT (1517103.000000 985345.000000)"
,100554,0,,,1510527.105000,985359.125000,"POINT (1510527.105000 985359.125000)"
,100555,0,,,1510502.524000,987321.437000,"POINT (1510502.524000 987321.437000)"
,100556,0,,,1510509.000000,988592.000000,"POINT (1510509.000000 988592.000000)"
,100557,0,,,1510549.451000,989750.500000,"POINT (1510549.451000 989750.500000)"
,100558,0,,,1511699.000000,989783.000000,"POINT (1511699.000000 989783.000000)"
,100559,0,,,1513854.932000,990677.188000,"POINT (1513854.932000 990677.188000)"
,100560,0,,,1516748.155000,990703.938000,"POINT (1516748.155000 990703.938000)"
,100561,0,,,1514587.292000,993332.188000,"POINT (1514587.292000 993332.188000)"
,100562,0,,,1520567.833000,992949.250000,"POINT (1520567.833000 992949.250000)"
,100563,0,,,1510581.058000,994813.813000,"POINT (1510581.058000 994813.813000)"
,100564,0,,,1505973.955000,996001.750000,"POINT (1505973.955000 996001.750000)"
,100565,0,,,1508745.998000,995968.938000,"POINT (1508745.998000 995968.938000)"
,100566,0,,,1510588.066000,995985.063000,"POINT (1510588.066000 995985.063000)"
,100567,0,,,1512193.717000,997969.813000,"POINT (1512193.717000 997969.813000)"
,100568,0,,,1538929.540000,1025410.799000,"POINT (1538929.540000 1025410.799000)"
,100569,0,,,1518835.307000,997595.562000,"POINT (1518835.307000 997595.562000)"
,100570,0,,,1520115.865000,997029.938000,"POINT (1520115.865000 997029.938000)"
,100571,0,,,1525532.000000,997016.000000,"POINT (1525532.000000 997016.000000)"
,100572,0,,,1521267.198000,997019.188000,"POINT (1521267.198000 997019.188000)"
,100573,0,,,1522137.046000,997021.125000,"POINT (1522137.046000 997021.125000)"
