              A,B,DISTANCE,STREET,ONEWAY,TAZID,LINKID,LANES,FT,SFF,SFF_TIME,CAP1HR1LN,Length,geometry
5009,5027,0.150790,Center St,2,1299,5009_5027,2,3,36.363640,0.248800,814.416000,0.000000,"LINESTRING (-111.913172 40.610470 ,-111.910314 40.610655)",
5009,5240,0.296910,Holden St,2,1296,5009_5240,2,3,36.363640,0.489900,814.416000,0.000000,"LINESTRING (-111.913172 40.610470 ,-111.911929 40.614669)",
5009,5863,0.190370,7800 Sout,2,1296,5009_5863,2,3,36.363640,0.314110,814.416000,0.000000,"LINESTRING (-111.913172 40.610470 ,-111.916784 40.610265)",
5010,4958,0.118720,700 West,2,1299,5010_4958,2,3,36.363640,0.195890,814.416000,0.000000,"LINESTRING (-111.910268 40.616808 ,-111.910232 40.618529)",
5010,5027,0.424450,700 West,2,1299,5010_5027,1,3,35.363640,0.720150,857.280000,0.000000,"LINESTRING (-111.910268 40.616808 ,-111.910314 40.610655)",
5010,5240,0.171460,Holden St,2,1296,5010_5240,2,3,36.363640,0.282910,814.416000,0.000000,"LINESTRING (-111.910268 40.616808 ,-111.911929 40.614669)",
5017,5018,0.498010,Redwood R,2,1285,5017_5018,3,2,43.516480,0.686650,854.485660,0.000000,"LINESTRING (-111.938751 40.609517 ,-111.938855 40.616737)",
5017,11123,0.262220,7800 Sout,2,1314,5017_11123,2,3,36.363640,0.432660,814.416000,0.000000,"LINESTRING (-111.938751 40.609517 ,-111.943739 40.609520)",
5017,11124,0.364410,7800 Sout,2,1319,5017_11124,2,3,36.363640,0.601280,814.416000,0.000000,"LINESTRING (-111.938751 40.609517 ,-111.931819 40.609526)",
5017,11146,0.249710,Redwood R,2,1314,5017_11146,3,2,43.516480,0.344300,854.485660,0.000000,"LINESTRING (-111.938751 40.609517 ,-111.938858 40.605898)",
5018,1285,0.238400,Cent,2,1285,5018_1285,7,1,21.176470,0.675470,10000.000000,0.000000,"LINESTRING (-111.938855 40.616737 ,-111.943375 40.616454)",
5018,1289,0.262130,Cent,2,1289,5018_1289,7,1,21.176470,0.742700,10000.000000,0.000000,"LINESTRING (-111.938855 40.616737 ,-111.933868 40.616707)",
5018,5017,0.498010,Redwood R,2,1285,5018_5017,3,2,43.516480,0.686650,854.485660,0.000000,"LINESTRING (-111.938855 40.616737 ,-111.938751 40.609517)",
5018,5436,0.506870,Redwood R,2,1285,5018_5436,3,2,43.516480,0.698870,854.485660,0.000000,"LINESTRING (-111.938855 40.616737 ,-111.938742 40.624085)",
5022,4952,0.500730,1300 West,2,1289,5022_4952,1,4,32.255540,0.931430,666.400000,0.000000,"LINESTRING (-111.929163 40.609415 ,-111.929251 40.616674)",
5022,5524,0.198840,7800 Sout,2,1290,5022_5524,2,3,36.363640,0.328090,814.416000,0.000000,"LINESTRING (-111.929163 40.609415 ,-111.925488 40.608731)",
5022,11124,0.139840,7800 Sout,2,1319,5022_11124,2,3,36.363640,0.230740,814.416000,0.000000,"LINESTRING (-111.929163 40.609415 ,-111.931819 40.609526)",
5022,11147,0.118960,1300 West,2,1319,5022_11147,1,4,32.255540,0.221280,666.400000,0.000000,"LINESTRING (-111.929163 40.609415 ,-111.929235 40.607691)",
5027,5009,0.150790,Center St,2,1299,5027_5009,2,3,36.363640,0.248800,814.416000,0.000000,"LINESTRING (-111.910314 40.610655 ,-111.913172 40.610470)",
5027,5010,0.424450,700 West,2,1299,5027_5010,1,3,35.363640,0.720150,857.280000,0.000000,"LINESTRING (-111.910314 40.610655 ,-111.910268 40.616808)",
5027,11129,0.141750,Center St,2,1299,5027_11129,2,3,36.363640,0.233890,814.416000,0.000000,"LINESTRING (-111.910314 40.610655 ,-111.907639 40.610911)",
5027,11150,0.237810,700 West,2,1297,5027_11150,1,4,29.323210,0.486600,666.400000,0.000000,"LINESTRING (-111.910314 40.610655 ,-111.910332 40.607207)",
5030,4899,0.282620,700 West,2,1294,5030_4899,2,4,30.323210,0.559220,633.080000,0.000000,"LINESTRING (-111.910235 40.620919 ,-111.910202 40.625016)",
5030,4958,0.164810,700 West,2,1295,5030_4958,2,3,36.363640,0.271940,814.416000,0.000000,"LINESTRING (-111.910235 40.620919 ,-111.910232 40.618529)",
5030,10872,0.151400,7000 Sout,2,1294,5030_10872,2,3,36.363640,0.249810,814.416000,0.000000,"LINESTRING (-111.910235 40.620919 ,-111.913107 40.621094)",
5030,11128,0.135700,7200 Sout,2,1298,5030_11128,2,3,29.090910,0.279880,814.416000,0.000000,"LINESTRING (-111.910235 40.620919 ,-111.907655 40.620856)",
5034,11129,0.253580,Center St,2,1513,5034_11129,2,3,36.363640,0.418410,814.416000,0.000000,"LINESTRING (-111.902815 40.610924 ,-111.907639 40.610911)",
5037,11128,0.151900,7200 Sout,2,1298,5037_11128,2,3,29.090910,0.313290,814.416000,0.000000,"LINESTRING (-111.904767 40.620808 ,-111.907655 40.620856)",
5103,5820,0.574570,1300 West,2,1320,5103_5820,1,4,32.255540,1.068780,666.400000,0.000000,"LINESTRING (-111.929223 40.594991 ,-111.929267 40.603321)",
5103,11161,0.272100,1300 West,2,1322,5103_11161,1,4,32.255540,0.506150,666.400000,0.000000,"LINESTRING (-111.929223 40.594991 ,-111.929272 40.591047)",
5106,4804,0.260360,700 West,2,1297,5106_4804,1,4,29.323210,0.532740,666.400000,0.000000,"LINESTRING (-111.910268 40.598557 ,-111.910307 40.602331)",
5106,5117,0.747670,700 West,2,1325,5106_5117,1,4,24.678100,1.817810,633.080000,0.000000,"LINESTRING (-111.910268 40.598557 ,-111.910225 40.587717)",
5106,10852,0.055050,500 West,2,1325,5106_10852,1,4,24.678100,0.133840,633.080000,0.000000,"LINESTRING (-111.910268 40.598557 ,-111.909246 40.598382)",
5109,4804,0.248860,700 West,2,1297,5109_4804,1,4,29.323210,0.509210,666.400000,0.000000,"LINESTRING (-111.910315 40.605939 ,-111.910307 40.602331)",
5109,11150,0.087510,700 West,2,1297,5109_11150,1,4,29.323210,0.179060,666.400000,0.000000,"LINESTRING (-111.910315 40.605939 ,-111.910332 40.607207)",
5109,11151,0.194780,8000 South,2,1324,5109_11151,1,5,26.323210,0.443970,514.500000,0.000000,"LINESTRING (-111.910315 40.605939 ,-111.906610 40.605960)",
5112,5589,0.245400,9000 Sout,2,1322,5112_5589,2,2,39.560440,0.372190,892.045410,0.000000,"LINESTRING (-111.938730 40.587762 ,-111.934063 40.587781)",
5112,11159,0.256300,9000 Sout,2,1318,5112_11159,2,2,39.560440,0.388720,892.045410,0.000000,"LINESTRING (-111.938730 40.587762 ,-111.943604 40.587762)",
5112,11160,0.212790,Redwood R,2,1318,5112_11160,3,2,43.516480,0.293390,854.485660,0.000000,"LINESTRING (-111.938730 40.587762 ,-111.938878 40.590844)",
5112,11172,0.247700,Redwood R,2,1346,5112_11172,2,2,39.560440,0.375680,892.045410,0.000000,"LINESTRING (-111.938730 40.587762 ,-111.938819 40.584171)",
5113,8002,0.242040,8660 S,2,1318,5113_8002,1,5,26.323210,0.551700,514.500000,0.000000,"LINESTRING (-111.938770 40.594013 ,-111.943373 40.593977)",
5113,11148,0.346640,Redwood R,2,1316,5113_11148,3,2,43.516480,0.477940,854.485660,0.000000,"LINESTRING (-111.938770 40.594013 ,-111.938793 40.599039)",
5113,11160,0.218660,Redwood R,2,1318,5113_11160,3,2,43.516480,0.301490,854.485660,0.000000,"LINESTRING (-111.938770 40.594013 ,-111.938878 40.590844)",
5114,5589,0.256000,9000 Sout,2,1353,5114_5589,2,2,39.560440,0.388270,892.045410,0.000000,"LINESTRING (-111.929195 40.587794 ,-111.934063 40.587781)",
5114,5592,0.369200,9000 Sout,2,1354,5114_5592,2,2,32.757050,0.676250,847.443180,0.000000,"LINESTRING (-111.929195 40.587794 ,-111.922175 40.587742)",
5114,11161,0.224440,1300 West,2,1322,5114_11161,1,4,32.255540,0.417490,666.400000,0.000000,"LINESTRING (-111.929195 40.587794 ,-111.929272 40.591047)",
5114,11173,0.236250,1300 West,2,1353,5114_11173,1,4,29.323210,0.483410,666.400000,0.000000,"LINESTRING (-111.929195 40.587794 ,-111.929246 40.584369)",
5117,5106,0.747670,700 West,2,1325,5117_5106,1,4,24.678100,1.817810,633.080000,0.000000,"LINESTRING (-111.910225 40.587717 ,-111.910268 40.598557)",
5117,11255,0.123100,9000 Sout,2,1325,5117_11255,2,2,32.757050,0.225480,847.443180,0.000000,"LINESTRING (-111.910225 40.587717 ,-111.907886 40.587813)",
5118,5727,0.111900,9000 Sout,2,1325,5118_5727,2,2,32.757050,0.204960,847.443180,0.000000,"LINESTRING (-111.904260 40.588014 ,-111.902133 40.588000)",
5118,10854,0.091350,500 West,2,1358,5118_10854,1,4,24.678100,0.222100,633.080000,0.000000,"LINESTRING (-111.904260 40.588014 ,-111.904193 40.586691)",
