node_id,x_coord,y_coord
245,1520441.5905764257,999710.2175083855
246,1521269.0938218764,999774.0532275223
247,1522109.1392838624,1000146.5150053119
248,1521882.4417524536,1000625.4587586949
249,1522120.1362751026,1000139.7987694694
250,1522386.1446968606,1000366.3732781461
251,1522100.4285715206,1000132.0152952687
252,1521288.433148947,999782.7115550765
253,1522117.1988060288,1001527.8386150098
254,1521717.123372871,1001546.8036075823
255,1522130.650105189,1001532.0445930125
256,1522135.905323212,1001780.0040832957
257,1522122.82680131,1001512.3567887193
258,1522110.9266182217,1001320.4484471999
259,1522152.7131544608,1002005.776187216
260,1522410.9039247928,1001998.1274172083
261,1522133.0657280614,1002016.9217780324
262,1521722.7001152725,1002031.5026002533
263,1522138.9137354943,1002001.4927814426
264,1522129.584772039,1001800.2273313479
265,1522146.3413770199,1002021.331011979
266,1522145.5575880182,1002269.3211118701
267,1522395.2000671006,1000385.4452332353
268,1522400.0873468895,1000614.993764691
269,1522387.7984475375,1000365.5903736163
270,1522379.3498185452,999921.4397562366
271,1522381.6057248972,1000371.7022305307
272,1522115.5973031393,1000145.1277218539
273,1522401.5332408666,1000378.8899572338
274,1522829.5273546248,1000536.5984331489
275,1522832.771392158,1000533.1209505178
276,1522843.146679255,1000104.2611002078
277,1522827.1833112591,1000543.1943000902
278,1522397.240453271,1000384.419150182
279,1522153.395805565,1002522.3355395701
280,1522419.1159847272,1002517.5971294899
281,1522139.9320969936,1002517.7838111857
282,1522138.585024693,1002289.3304635092
283,1522146.8829208307,1002537.8001745566
284,1522144.3596718581,1002771.690338303
285,1522163.0668497311,1003002.8990866501
286,1522163.534140326,1003280.1451150582
287,1522155.1774433828,1002983.2545726193
288,1522138.1521062497,1002791.922859384
289,1522149.6687111596,1002996.7273200876
290,1521733.898200462,1003010.2120011682
291,1522169.454798775,1002987.4775271782
292,1522236.567023958,1002986.2806758023
293,1522426.855978383,1002982.887142116
294,1522169.8637229868,1003286.155944608
295,1522256.1986808951,1003281.8387906598
296,1522156.5341502689,1003280.1569133499
297,1522156.066859674,1003002.9108849418
298,1522163.8198681735,1003300.0527994673
299,1522168.594577109,1003476.7340986602
300,1522091.3395509135,1000941.8969989659
301,1521877.9643147879,1000643.17166839
302,1522106.6776439399,1000956.2255134436
303,1522120.6883334997,1000995.1835779021
304,1519002.030090731,1001576.1165978087
305,1518999.6254577723,1001384.0430306558
306,1519009.45248198,1001595.9628609641
307,1519017.199387294,1001854.8998058958
308,1518959.907407835,1001077.9425814071
309,1519004.9013288287,1001363.5771909407
310,1518964.9095790284,1001063.3887819272
311,1519505.4244233072,1001064.9972899131
312,1519695.6116675863,1001065.5632645659
