link_id,from_node_id,to_node_id,lanes,geometry
55,110,111,1,"LINESTRING(1521749.7358677217 1002302.8211389463,1522131.80913883 1002276.5054059415)"
56,112,113,1,"LINESTRING(1521730.1108690659 1002310.8019849241,1521322.101649748 1002323.1947883146)"
57,114,115,1,"LINESTRING(1521742.545453575 1002317.2844866716,1521723.0746126128 1002523.7078689917)"
58,116,117,1,"LINESTRING(1521708.051450365 1002771.6506201233,1522130.8057072526 1002778.0021697873)"
59,118,119,1,"LINESTRING(1521688.2435510224 1002779.1305814784,1521339.5678427727 1002801.4111706343)"
60,120,121,1,"LINESTRING(1521695.364136349 1002764.7383128672,1521714.3122822815 1002543.0006882093)"
61,122,123,1,"LINESTRING(1521702.5832336484 1002784.5521709219,1521726.1639261637 1002996.7125714582)"
62,124,125,1,"LINESTRING(1522625.9781407143 1002754.8452786126,1522636.697734122 1002529.0447790802)"
63,126,127,1,"LINESTRING(1522633.014000147 1002774.8049886699,1522643.6445763386 1002979.4709129968)"
64,128,129,1,"LINESTRING(1522639.0890911717 1002761.7657706747,1522855.154090841 1002767.4836792096)"
65,130,131,1,"LINESTRING(1522619.3143689341 1002769.2940133741,1522441.1943992178 1002783.6862472253)"
66,132,133,1,"LINESTRING(1522851.9296085879 1002984.6517289268,1522650.8004776954 1002992.7346252608)"
67,134,135,2,"LINESTRING(1522856.6880385475 1002970.6721149374,1522859.6522456727 1002781.1636688033)"
68,136,137,2,"LINESTRING(1522439.1211285999 1002517.2557563465,1522630.5837837409 1002514.1356376025)"
69,138,139,1,"LINESTRING(1522425.5868521305 1002512.711229032,1522422.6886637665 1002274.0097550405)"
70,140,141,1,"LINESTRING(1522432.7751576416 1002532.6442410937,1522434.3776841296 1002770.979693177)"
71,142,143,1,"LINESTRING(1522636.1477150877 1002509.6398799679,1522611.5581879627 1002274.3095855386)"
72,144,145,1,"LINESTRING(1522643.6898592857 1002529.3767213874,1522632.9702658781 1002755.1772209198)"
73,146,147,2,"LINESTRING(1522650.4548863308 1002513.5846818475,1522850.4172068823 1002505.753361442)"
74,148,149,2,"LINESTRING(1522855.5027439522 1002500.5368859553,1522858.6132450583 1002273.9270021254)"
75,150,151,1,"LINESTRING(1522854.0 1002267.5,1522624.0 1002267.5)"
76,152,153,2,"LINESTRING(1522858.561925427 1002254.1010179848,1522853.9149503405 1002008.2894450948)"
77,154,155,1,"LINESTRING(1522436.067595812 1002260.4697027853,1522604.0005961019 1002260.4982973163)"
78,156,157,1,"LINESTRING(1522429.6881478697 1002273.9247709679,1522432.5863362337 1002512.6262449594)"
79,158,159,1,"LINESTRING(1522422.3755687838 1002254.0370717666,1522417.747722609 1002013.1443820723)"
80,160,161,1,"LINESTRING(1522424.7464312161 1002013.0099282335,1522429.374277391 1002253.9026179278)"
81,162,163,2,"LINESTRING(1522431.024052085 1001997.7704690798,1522635.3423957315 1001996.5727113346)"
82,164,165,1,"LINESTRING(1522417.1516493307 1001993.2294389156,1522408.343129134 1001776.5779290154)"
83,166,167,2,"LINESTRING(1522411.214845539 1002008.6228127839,1522153.024075207 1002016.2715827917)"
84,168,169,1,"LINESTRING(1522640.9540296926 1001992.1347372336,1522621.4495879808 1001784.2832581671)"
85,170,171,1,"LINESTRING(1522647.6603239372 1002012.1089576705,1522618.6631123512 1002254.4865682743)"
86,172,173,2,"LINESTRING(1522635.403947915 1002007.0725309202,1522431.0856042684 1002008.2702886654)"
87,174,175,2,"LINESTRING(1522655.2838202028 1001996.3475304019,1522848.8886161002 1001993.1099374442)"
88,176,177,2,"LINESTRING(1522849.0641797972 1002003.6084695981,1522655.4593838998 1002006.8460625558)"
89,178,179,2,"LINESTRING(1522853.5223983654 1001988.3010124147,1522848.9547800838 1001764.1048629876)"
90,180,181,1,"LINESTRING(1522844.3407977754 1001758.3531382224,1522634.2656095393 1001776.6205458951)"
91,182,183,2,"LINESTRING(1522848.474859379 1001744.1493492033,1522842.2541742485 1001519.7896661033)"
92,184,185,1,"LINESTRING(1522421.5520227707 1001763.3014508418,1522614.1306464216 1001770.1469674358)"
93,186,187,1,"LINESTRING(1522415.337350669 1001776.2935610844,1522424.1458708658 1001992.9450709847)"
94,188,189,1,"LINESTRING(1522408.0065067285 1001756.4189169643,1522409.6626768115 1001527.7193925648)"
95,190,191,1,"LINESTRING(1522416.6624932715 1001527.7700830357,1522415.0063231885 1001756.4696074352)"
96,192,193,2,"LINESTRING(1522403.316404181 1001523.1472177833,1522137.0180683148 1001527.2175558871)"
97,194,195,1,"LINESTRING(1522409.1330298923 1001507.9764872558,1522397.0609397315 1001309.938431188)"
98,196,197,1,"LINESTRING(1522607.3371851929 1001526.9160040574,1522626.6745971788 1001763.7483401378)"
99,198,199,1,"LINESTRING(1522599.2920142356 1001507.3223877413,1522593.7450703138 1001280.082431886)"
100,200,201,2,"LINESTRING(1522593.0491708065 1001522.5109039522,1522423.249098322 1001522.9680579933)"
101,202,203,2,"LINESTRING(1522837.3928396981 1001515.2059783913,1522613.193195731 1001522.1709585262)"
102,204,205,2,"LINESTRING(1522841.7666452054 1001499.7601861398,1522837.9086594423 1001315.6547963348)"
103,206,207,1,"LINESTRING(1522399.5504898233 1000992.624950998,1522393.4715219408 1000635.124060243)"
104,208,209,2,"LINESTRING(1522413.1475097004 1000997.17818055,1522597.6683677516 1000994.6627949268)"
105,210,211,1,"LINESTRING(1522406.6096253823 1001012.6019499784,1522403.5559498544 1001289.783163587)"
106,212,213,2,"LINESTRING(1522831.490376743 1000987.3797620219,1522832.5046519113 1000553.2327074417)"
107,214,215,1,"LINESTRING(1522386.8553672195 1000628.7176282117,1521885.052055691 1000636.3475627532)"
108,216,217,1,"LINESTRING(1522400.4705101766 1000635.005049002,1522406.5494780592 1000992.505939757)"
109,218,219,1,"LINESTRING(1522393.0889328993 1000615.1427667647,1522388.2016531103 1000385.5942353089)"
110,220,221,1,"LINESTRING(1522393.1663330167 999912.7336584849,1522608.5677824765 1000020.8707722798,1522648.3574673047 1000040.765614692,1522712.0583257787 1000062.6627847916,1522766.7517117364 1000078.5735879798,1522839.2665618046 1000089.4468228165)"
111,222,223,1,"LINESTRING(1522386.3485524624 999921.3066263837,1522394.7971814547 1000365.4572437634)"
112,224,225,1,"LINESTRING(1522838.2285514076 1000096.3694331923,1522765.2482882645 1000085.4264120202,1522709.9416742232 1000069.3372152084,1522645.642532694 1000047.2343853076,1522605.4322175235 1000027.1292277277,1522390.0257027016 999918.9895709865)"
113,226,227,1,"LINESTRING(1521458.388715466 1003808.0906189902,1521828.5989625584 1003753.9829674921)"
114,228,229,1,"LINESTRING(1521443.0202363164 1003821.7459948712,1521355.7286762071 1003885.9829590906)"
115,230,231,1,"LINESTRING(1521198.3839334135 1002555.4540757166,1520849.5948008297 1002677.013977879)"
116,232,233,2,"LINESTRING(1521216.5102457348 1002543.3054833332,1521311.4325478652 1002540.4094002853)"
117,234,235,1,"LINESTRING(1521269.4682774635 1000583.4644095263,1520453.5179738924 1000486.6538342237)"
118,236,237,1,"LINESTRING(1521276.2983479747 1000571.171437197,1521275.3076576304 999788.3164211826)"
119,238,239,1,"LINESTRING(1521283.311 1000591.167,1521283.311 1000634.577)"
120,240,241,1,"LINESTRING(1520435.0149775404 999722.8790899093,1520447.3350758527 1000471.9437945002)"
121,242,243,1,"LINESTRING(1520421.2256266254 999717.9419298578,1519882.657054262 999704.7699545894)"
122,243,244,2,"LINESTRING(1519882.657054262 999704.7699545894,1519692.447647674 999700.1179311927)"
123,245,246,1,"LINESTRING(1520441.5905764257 999710.2175083855,1521269.0938218764 999774.0532275223)"
124,247,248,1,"LINESTRING(1522109.1392838624 1000146.5150053119,1521882.4417524536 1000625.4587586949)"
125,249,250,1,"LINESTRING(1522120.1362751026 1000139.7987694694,1522386.1446968606 1000366.3732781461)"
126,251,252,1,"LINESTRING(1522100.4285715206 1000132.0152952687,1521886.0258099316 999943.9240300861,1521684.6621561146 999842.2453534061,1521562.3521871269 999802.4697537352,1521416.7441794798 999794.4912327682,1521288.433148947 999782.7115550765)"
127,253,254,2,"LINESTRING(1522117.1988060288 1001527.8386150098,1521717.123372871 1001546.8036075823)"
128,255,256,1,"LINESTRING(1522130.650105189 1001532.0445930125,1522135.905323212 1001780.0040832957)"
129,257,258,1,"LINESTRING(1522122.82680131 1001512.3567887193,1522110.9266182217 1001320.4484471999)"
130,259,260,2,"LINESTRING(1522152.7131544608 1002005.776187216,1522410.9039247928 1001998.1274172083)"
131,261,262,2,"LINESTRING(1522133.0657280614 1002016.9217780324,1521722.7001152725 1002031.5026002533)"
132,263,264,1,"LINESTRING(1522138.9137354943 1002001.4927814426,1522129.584772039 1001800.2273313479)"
133,265,266,1,"LINESTRING(1522146.3413770199 1002021.331011979,1522145.5575880182 1002269.3211118701)"
134,267,268,1,"LINESTRING(1522395.2000671006 1000385.4452332353,1522400.0873468895 1000614.993764691)"
135,269,270,1,"LINESTRING(1522387.7984475375 1000365.5903736163,1522379.3498185452 999921.4397562366)"
136,271,272,1,"LINESTRING(1522381.6057248972 1000371.7022305307,1522115.5973031393 1000145.1277218539)"
137,273,274,1,"LINESTRING(1522401.5332408666 1000378.8899572338,1522415.7002135497 1000389.8889954604,1522658.169866681 1000475.7013006657,1522829.5273546248 1000536.5984331489)"
138,275,276,2,"LINESTRING(1522832.771392158 1000533.1209505178,1522843.146679255 1000104.2611002078)"
139,277,278,1,"LINESTRING(1522827.1833112591 1000543.1943000902,1522655.8301332593 1000482.2986992896,1522412.299786449 1000396.1110045392,1522397.240453271 1000384.419150182)"
